,Chromosome,Start,End,Name,Score,Strand,ThickStart,ThickEnd,ItemRGB,BlockCount
129,chr1,16187750,16188127,.,1000,.,305.19241,-1.0,4.94451,182
130,chr1,20152310,20152759,.,1000,.,305.17768,-1.0,4.94451,211
131,chr1,156445772,156446224,.,989,.,304.78314,-1.0,4.94451,238
132,chr1,110312584,110312979,.,1000,.,304.50078,-1.0,4.94451,204
133,chr1,27395337,27395796,.,1000,.,304.47617,-1.0,4.94451,229
134,chr1,33298646,33299102,.,1000,.,304.28069,-1.0,4.94451,213
135,chr1,95233953,95234340,.,1000,.,304.15275,-1.0,4.94451,189
136,chr1,201793016,201793406,.,1000,.,303.94182,-1.0,4.94451,209
137,chr1,31548897,31549255,.,1000,.,303.82875,-1.0,4.94451,165
138,chr1,109640195,109640666,.,1000,.,303.60281,-1.0,4.94451,202
139,chr1,19241242,19241623,.,1000,.,302.85054,-1.0,4.94451,199
140,chr1,153797158,153797573,.,1000,.,302.84188,-1.0,4.94451,237
141,chr1,153946595,153946940,.,1000,.,302.83877,-1.0,4.94451,161
142,chr1,2195099,2195537,.,1000,.,302.75701,-1.0,4.94451,239
143,chr1,155323238,155323667,.,1000,.,302.70204,-1.0,4.94451,223
144,chr1,110053799,110054191,.,1000,.,302.61219,-1.0,4.94451,209
145,chr1,59759438,59759833,.,1000,.,302.23587,-1.0,4.94451,200
146,chr1,29202854,29203284,.,1000,.,302.01099,-1.0,4.94451,200
147,chr1,27556712,27557123,.,1000,.,301.92684,-1.0,4.94451,198
148,chr1,182143145,182143548,.,1000,.,301.87789,-1.0,4.94451,194
149,chr1,66242645,66243075,.,1000,.,301.48066,-1.0,4.94451,201
150,chr1,30719181,30719576,.,1000,.,301.47364,-1.0,4.94451,209
151,chr1,167059118,167059555,.,1000,.,300.97408,-1.0,4.94451,219
152,chr1,93909484,93909869,.,1000,.,300.91287,-1.0,4.94451,193
153,chr1,108746307,108746685,.,1000,.,300.71942,-1.0,4.94451,187
154,chr1,9005115,9005502,.,1000,.,300.68026,-1.0,4.94451,185
155,chr1,184222581,184222975,.,1000,.,300.61329,-1.0,4.94451,181
156,chr1,40668904,40669275,.,1000,.,300.43328,-1.0,4.94451,168
157,chr1,201482049,201482438,.,1000,.,300.20689,-1.0,4.94451,186
158,chr1,76154088,76154523,.,1000,.,299.6225,-1.0,4.94451,212
159,chr1,10210086,10210549,.,1000,.,299.52241,-1.0,4.94451,254
160,chr1,46037030,46037428,.,1000,.,299.27098,-1.0,4.94451,185
161,chr1,167066612,167067048,.,1000,.,299.12628,-1.0,4.94451,179
162,chr1,231756790,231757151,.,1000,.,298.76656,-1.0,4.94451,180
163,chr1,147892721,147893065,.,1000,.,298.71414,-1.0,4.94451,180
164,chr1,234499031,234499415,.,1000,.,298.24784,-1.0,4.94451,209
165,chr1,33295445,33295832,.,1000,.,297.97969,-1.0,4.94451,217
166,chr1,111508163,111508572,.,1000,.,297.87566,-1.0,4.94451,228
167,chr1,155086079,155086489,.,1000,.,297.7123,-1.0,4.94451,162
168,chr1,25998117,25998527,.,1000,.,297.56233,-1.0,4.94451,195
169,chr1,34852595,34853069,.,1000,.,297.41874,-1.0,4.94451,273
170,chr1,34742658,34743058,.,1000,.,297.34622,-1.0,4.94451,203
171,chr1,226634112,226634500,.,1000,.,296.97539,-1.0,4.94451,177
172,chr1,200971935,200972326,.,1000,.,296.86946,-1.0,4.94451,199
173,chr1,58546692,58547124,.,1000,.,296.45753,-1.0,4.94451,199
174,chr1,209576705,209577109,.,1000,.,296.29501,-1.0,4.94451,198
175,chr1,47997599,47998010,.,1000,.,296.05325,-1.0,4.94451,194
176,chr1,26500159,26500543,.,796,.,295.98495,-1.0,4.94451,199
177,chr1,209248669,209249068,.,1000,.,295.58882,-1.0,4.94451,188
178,chr1,54489405,54489779,.,1000,.,295.48741,-1.0,4.94451,176
179,chr1,65687685,65688085,.,1000,.,294.99831,-1.0,4.94451,183
180,chr1,156583997,156584415,.,1000,.,294.75202,-1.0,4.94451,203
181,chr1,193121729,193122125,.,1000,.,294.63987,-1.0,4.94451,202
182,chr1,40338677,40339080,.,1000,.,294.23445,-1.0,4.94451,208
183,chr1,160193045,160193492,.,1000,.,294.08462,-1.0,4.94451,211
184,chr1,16008989,16009402,.,1000,.,293.77852,-1.0,4.94451,193
185,chr1,165367364,165367734,.,1000,.,293.27986,-1.0,4.94451,202
186,chr1,221435414,221435788,.,1000,.,293.04653,-1.0,4.94451,197
187,chr1,220810116,220810537,.,1000,.,293.01296,-1.0,4.94451,186
188,chr1,11642432,11642785,.,1000,.,292.88642,-1.0,4.94451,178
189,chr1,203861250,203861658,.,1000,.,292.87934,-1.0,4.94451,187
190,chr1,19704492,19704905,.,1000,.,292.22246,-1.0,4.94451,227
191,chr1,223133655,223134054,.,1000,.,292.17943,-1.0,4.94451,178
192,chr1,984122,984542,.,1000,.,291.80515,-1.0,4.94451,204
193,chr1,10430152,10430554,.,1000,.,291.65409,-1.0,4.94451,213
194,chr1,110460231,110460638,.,1000,.,291.62716,-1.0,4.94451,218
195,chr1,112390795,112391216,.,1000,.,291.51662,-1.0,4.94451,210
196,chr1,39973508,39973895,.,1000,.,291.32079,-1.0,4.94451,191
197,chr1,2381738,2382147,.,1000,.,291.14404,-1.0,4.94451,205
198,chr1,3453069,3453485,.,929,.,291.00473,-1.0,4.94451,220
199,chr1,47175299,47175728,.,1000,.,291.00236,-1.0,4.94451,240
200,chr1,112707301,112707692,.,1000,.,290.74874,-1.0,4.94451,180
201,chr1,20493795,20494185,.,1000,.,290.33297,-1.0,4.94451,185
202,chr1,119611553,119611986,.,968,.,290.29406,-1.0,4.94451,230
203,chr1,179002654,179003111,.,1000,.,290.27596,-1.0,4.94451,223
204,chr1,245042663,245043063,.,1000,.,290.09909,-1.0,4.94451,193
205,chr1,77683333,77683778,.,1000,.,289.85736,-1.0,4.94451,231
206,chr1,157090086,157090495,.,1000,.,289.61563,-1.0,4.94451,215
207,chr1,23634930,23635317,.,1000,.,289.17149,-1.0,4.94451,204
208,chr1,108559831,108560216,.,1000,.,289.15111,-1.0,4.94451,197
209,chr1,23403926,23404317,.,1000,.,288.97221,-1.0,4.94451,201
210,chr1,21659102,21659491,.,1000,.,288.53403,-1.0,4.94451,186
211,chr1,152052549,152052967,.,1000,.,288.28726,-1.0,4.94451,194
212,chr1,211698465,211698850,.,1000,.,288.28078,-1.0,4.94451,191
213,chr1,15431113,15431515,.,1000,.,287.03901,-1.0,4.94451,206
214,chr1,167687903,167688310,.,835,.,286.97449,-1.0,4.94451,206
215,chr1,23868274,23868659,.,1000,.,286.95965,-1.0,4.94451,174
216,chr1,157163642,157164016,.,1000,.,286.74584,-1.0,4.94451,176
217,chr1,53393283,53393701,.,1000,.,286.19459,-1.0,4.94451,225
218,chr1,162847821,162848239,.,1000,.,285.91286,-1.0,4.94451,216
219,chr1,12658976,12659352,.,1000,.,285.65345,-1.0,4.94451,205
220,chr1,3724415,3724777,.,1000,.,285.59317,-1.0,4.94451,173
221,chr1,21963961,21964367,.,1000,.,285.48714,-1.0,4.94451,205
222,chr1,168145751,168146138,.,1000,.,285.07958,-1.0,4.94451,228
223,chr1,9874870,9875233,.,1000,.,285.07726,-1.0,4.94451,170
224,chr1,154479781,154480173,.,1000,.,284.95806,-1.0,4.94451,223
225,chr1,204363634,204364068,.,1000,.,284.77089,-1.0,4.94451,219
226,chr1,110106118,110106501,.,1000,.,284.73594,-1.0,4.94451,193
227,chr1,16032848,16033224,.,1000,.,284.71595,-1.0,4.94451,181
228,chr1,86704324,86704760,.,1000,.,284.51087,-1.0,4.94451,198
229,chr1,201408224,201408609,.,1000,.,284.50564,-1.0,4.94451,164
230,chr1,92831749,92832192,.,1000,.,284.4237,-1.0,4.94451,189
231,chr1,40315273,40315662,.,1000,.,284.25179,-1.0,4.94451,189
232,chr1,109532263,109532705,.,1000,.,283.93554,-1.0,4.94451,208
233,chr1,180178808,180179215,.,1000,.,283.72548,-1.0,4.94451,223
234,chr1,152001731,152002087,.,1000,.,283.69787,-1.0,4.94451,176
235,chr1,110783303,110783694,.,1000,.,283.60374,-1.0,4.94451,192
236,chr1,212665200,212665633,.,1000,.,283.36468,-1.0,4.94451,209
237,chr1,116485241,116485640,.,1000,.,283.16215,-1.0,4.94451,206
238,chr1,28736542,28736919,.,1000,.,282.83677,-1.0,4.94451,219
239,chr1,12619853,12620260,.,1000,.,281.86884,-1.0,4.94451,189
240,chr1,228735107,228735509,.,1000,.,281.83121,-1.0,4.94451,218
241,chr1,204127620,204128028,.,1000,.,281.76019,-1.0,4.94451,209
242,chr1,2548000,2548408,.,1000,.,281.68223,-1.0,4.94451,189
243,chr1,37860048,37860468,.,1000,.,281.5098,-1.0,4.94451,233
244,chr1,225911316,225911712,.,1000,.,281.50123,-1.0,4.94451,201
245,chr1,904589,904969,.,1000,.,281.27263,-1.0,4.94451,191
246,chr1,15046535,15046932,.,1000,.,281.14546,-1.0,4.94451,198
247,chr1,18884115,18884477,.,1000,.,280.93423,-1.0,4.94451,194
248,chr1,39539200,39539560,.,1000,.,280.78713,-1.0,4.94451,194
249,chr1,20696320,20696801,.,1000,.,280.67252,-1.0,4.94451,281
250,chr1,26789165,26789540,.,1000,.,280.53551,-1.0,4.94451,191
251,chr1,19344329,19344704,.,1000,.,279.9916,-1.0,4.94451,205
252,chr1,78130756,78131182,.,1000,.,279.91662,-1.0,4.94451,191
253,chr1,147172468,147172859,.,1000,.,279.90901,-1.0,4.94451,228
254,chr1,157369929,157370295,.,1000,.,279.8797,-1.0,4.94451,170
255,chr1,44652877,44653229,.,1000,.,279.48014,-1.0,4.94451,183
256,chr1,160100937,160101328,.,1000,.,279.08776,-1.0,4.94451,221
257,chr1,39653513,39653885,.,1000,.,278.8318,-1.0,4.94451,205
258,chr1,6438013,6438411,.,1000,.,278.81941,-1.0,4.94451,195
259,chr1,159780481,159780861,.,1000,.,278.55287,-1.0,4.94451,193
260,chr1,36149518,36149868,.,1000,.,278.42206,-1.0,4.94451,172
261,chr1,201709478,201709869,.,1000,.,278.41279,-1.0,4.94451,179
262,chr1,5745798,5746195,.,1000,.,278.07077,-1.0,4.94451,195
263,chr1,184663983,184664384,.,1000,.,278.00121,-1.0,4.94451,176
264,chr1,43529120,43529459,.,1000,.,277.96454,-1.0,4.94451,165
265,chr1,44714937,44715324,.,1000,.,277.93892,-1.0,4.94451,207
266,chr1,115595816,115596217,.,1000,.,277.8608,-1.0,4.94451,195
267,chr1,181142444,181142865,.,1000,.,277.84667,-1.0,4.94451,231
268,chr1,206911084,206911482,.,1000,.,277.26962,-1.0,4.94451,202
269,chr1,183281438,183281827,.,1000,.,277.25874,-1.0,4.94451,201
270,chr1,214328843,214329185,.,1000,.,277.25821,-1.0,4.94451,167
271,chr1,201222895,201223285,.,1000,.,277.2147,-1.0,4.94451,188
272,chr1,205977390,205977752,.,1000,.,276.9206,-1.0,4.94451,193
273,chr1,9181220,9181625,.,1000,.,276.77959,-1.0,4.94451,225
274,chr1,16056047,16056495,.,1000,.,276.72949,-1.0,4.94451,223
275,chr1,156096599,156096975,.,1000,.,276.6165,-1.0,4.94451,186
276,chr1,44799674,44800048,.,1000,.,276.37861,-1.0,4.94451,169
277,chr1,89804662,89805006,.,1000,.,275.88659,-1.0,4.94451,178
278,chr1,25101435,25101796,.,1000,.,275.846,-1.0,4.94451,184
279,chr1,239898135,239898516,.,1000,.,275.64541,-1.0,4.94451,196
280,chr1,184982173,184982543,.,1000,.,275.5316,-1.0,4.94451,166
281,chr1,90851474,90851832,.,1000,.,275.32194,-1.0,4.94451,165
282,chr1,86474009,86474386,.,1000,.,275.26584,-1.0,4.94451,216
283,chr1,231211339,231211692,.,1000,.,274.98977,-1.0,4.94451,169
284,chr1,7647245,7647613,.,1000,.,274.50538,-1.0,4.94451,171
285,chr1,156725755,156726174,.,1000,.,274.44765,-1.0,4.94451,223
286,chr1,25810853,25811223,.,1000,.,274.18749,-1.0,4.94451,171
287,chr1,2414371,2414722,.,971,.,274.01177,-1.0,4.94451,182
288,chr1,204207101,204207449,.,1000,.,273.88637,-1.0,4.94451,171
289,chr1,212011930,212012305,.,1000,.,273.84142,-1.0,4.94451,202
290,chr1,40850010,40850396,.,805,.,273.79318,-1.0,4.94451,192
291,chr1,168082242,168082627,.,1000,.,273.77988,-1.0,4.94451,202
292,chr1,203267253,203267651,.,1000,.,273.56942,-1.0,4.94451,184
293,chr1,159214139,159214532,.,1000,.,273.46214,-1.0,4.94451,216
294,chr1,53182024,53182392,.,1000,.,273.41522,-1.0,4.94451,183
295,chr1,204989301,204989641,.,1000,.,273.27044,-1.0,4.94451,178
296,chr1,98054116,98054497,.,1000,.,273.1813,-1.0,4.94451,204
297,chr1,15791993,15792406,.,1000,.,273.16937,-1.0,4.94451,205
298,chr1,11907674,11908038,.,1000,.,273.14291,-1.0,4.94451,189
299,chr1,84936229,84936611,.,1000,.,272.6344,-1.0,4.94451,184
300,chr1,28248439,28248833,.,1000,.,272.38484,-1.0,4.94451,211
301,chr1,155173205,155173599,.,1000,.,272.08812,-1.0,4.94451,175
302,chr1,116151993,116152392,.,1000,.,271.98253,-1.0,4.94451,191
303,chr1,155176597,155176995,.,1000,.,271.46772,-1.0,4.94451,197
304,chr1,40952474,40952877,.,1000,.,271.31293,-1.0,4.94451,203
305,chr1,36420825,36421179,.,1000,.,271.22911,-1.0,4.94451,172
306,chr1,206490058,206490456,.,1000,.,271.21289,-1.0,4.94451,203
307,chr1,147494992,147495365,.,1000,.,270.40099,-1.0,4.94451,175
308,chr1,110619314,110619762,.,1000,.,270.21225,-1.0,4.94451,211
309,chr1,151071022,151071402,.,1000,.,270.18134,-1.0,4.94451,198
310,chr1,108125540,108125926,.,1000,.,270.11526,-1.0,4.94451,185
311,chr1,244299439,244299820,.,1000,.,269.92168,-1.0,4.94451,201
312,chr1,8848890,8849275,.,1000,.,269.61162,-1.0,4.94451,202
313,chr1,226196994,226197371,.,1000,.,269.51682,-1.0,4.94451,176
314,chr1,18913057,18913426,.,1000,.,269.18623,-1.0,4.94451,183
315,chr1,112716254,112716608,.,1000,.,268.97262,-1.0,4.94451,188
316,chr1,101288407,101288796,.,1000,.,268.88244,-1.0,4.94451,200
317,chr1,150560882,150561299,.,1000,.,268.68828,-1.0,4.94451,190
318,chr1,37454815,37455238,.,1000,.,268.58927,-1.0,4.94451,206
319,chr1,9588437,9588820,.,1000,.,268.50551,-1.0,4.94451,184
320,chr1,8988048,8988411,.,1000,.,268.24856,-1.0,4.94451,183
321,chr1,109263585,109264042,.,625,.,268.21931,-1.0,4.94451,189
322,chr1,32773007,32773380,.,1000,.,268.02519,-1.0,4.94451,167
323,chr1,116168352,116168728,.,1000,.,267.96744,-1.0,4.94451,195
324,chr1,56821033,56821410,.,1000,.,267.64161,-1.0,4.94451,183
325,chr1,153494889,153495291,.,1000,.,267.47304,-1.0,4.94451,209
326,chr1,31422738,31423103,.,1000,.,267.29396,-1.0,4.94451,182
327,chr1,22642018,22642378,.,1000,.,266.97468,-1.0,4.94451,193
328,chr1,157963617,157963976,.,1000,.,266.79344,-1.0,4.94451,184
329,chr1,145845405,145845789,.,1000,.,266.63898,-1.0,4.94451,194
330,chr1,145891796,145892277,.,1000,.,266.29975,-1.0,4.94451,235
331,chr1,15027501,15027880,.,1000,.,266.20255,-1.0,4.94451,187
332,chr1,1063778,1064169,.,1000,.,266.19918,-1.0,4.94451,207
333,chr1,235093815,235094224,.,1000,.,265.96452,-1.0,4.94451,197
334,chr1,24847907,24848290,.,1000,.,265.93567,-1.0,4.94451,180
335,chr1,228165584,228166016,.,1000,.,265.8127,-1.0,4.94451,165
336,chr1,205256185,205256535,.,1000,.,265.76371,-1.0,4.94451,174
337,chr1,204431306,204431694,.,1000,.,265.72038,-1.0,4.94451,192
338,chr1,1440883,1441297,.,1000,.,265.69818,-1.0,4.94451,212
339,chr1,204129031,204129425,.,1000,.,265.69597,-1.0,4.94451,184
340,chr1,60281346,60281721,.,1000,.,265.60649,-1.0,4.94451,179
341,chr1,23098714,23099073,.,1000,.,265.53312,-1.0,4.94451,186
342,chr1,204746841,204747216,.,1000,.,265.49652,-1.0,4.94451,188
343,chr1,200510086,200510542,.,1000,.,265.36592,-1.0,4.94451,228
344,chr1,156920397,156920761,.,1000,.,265.26378,-1.0,4.94451,176
345,chr1,14915325,14915743,.,1000,.,265.12166,-1.0,4.94451,206
346,chr1,23539832,23540180,.,1000,.,264.8696,-1.0,4.94451,164
347,chr1,155084689,155085053,.,1000,.,264.80034,-1.0,4.94451,178
348,chr1,162055950,162056348,.,1000,.,264.60852,-1.0,4.94451,196
349,chr1,27663170,27663547,.,1000,.,264.14531,-1.0,4.94451,170
350,chr1,226407954,226408366,.,1000,.,264.02678,-1.0,4.94451,214
351,chr1,3565225,3565581,.,1000,.,263.99484,-1.0,4.94451,171
352,chr1,88180517,88180882,.,1000,.,263.70036,-1.0,4.94451,183
353,chr1,223129293,223129698,.,1000,.,263.68377,-1.0,4.94451,192
354,chr1,8561052,8561410,.,1000,.,263.38925,-1.0,4.94451,190
355,chr1,16082312,16082713,.,1000,.,263.10445,-1.0,4.94451,202
356,chr1,11893911,11894317,.,1000,.,262.96164,-1.0,4.94451,211
357,chr1,16440444,16440823,.,1000,.,262.80075,-1.0,4.94451,182
358,chr1,33612909,33613244,.,1000,.,262.72289,-1.0,4.94451,165
359,chr1,156689477,156689846,.,1000,.,262.68831,-1.0,4.94451,191
360,chr1,154324558,154324965,.,1000,.,262.68739,-1.0,4.94451,189
361,chr1,154559471,154559830,.,1000,.,262.50814,-1.0,4.94451,202
362,chr1,96966529,96966909,.,1000,.,262.32391,-1.0,4.94451,209
363,chr1,161192510,161192850,.,1000,.,262.29637,-1.0,4.94451,159
364,chr1,46442621,46442998,.,1000,.,262.28128,-1.0,4.94451,166
365,chr1,87131733,87132069,.,1000,.,261.78725,-1.0,4.94451,181
